,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_010471-T1,1101.33,1659.67,2291.5,7127.62,1039.25,1104.83,2408.17,2297.83,1082
Tatro_010472-T1,3,6,3,30.83,4,2,12.5,4.5,2.5
Tatro_010473-T1,3.5,2.5,0,18.5,3,0,3,1,1
Tatro_010474-T1,367.83,379.33,429.5,3168.17,384.83,381.83,650.25,608.33,331.5
Tatro_010475-T1,2520.5,2261.25,2674.5,25702.57,2150.5,2236.5,4080.33,3659.83,1677.5
Tatro_010476-T1,20,32.33,28.5,159,38,39.67,71.33,60,21
Tatro_010477-T1,323,301,333,3369.75,338,348,696.33,636.83,316.33
Tatro_010478-T1,436.25,323,380,3905.5,293.5,359.5,730,634.5,342.67
Tatro_010479-T1,5166.33,3624.25,4138.17,38881.17,3239.17,3417.33,5267.92,4627.75,2246.33
Tatro_010480-T1,6,1,5,43,8,6,14,15,9
Tatro_010481-T1,8,5.5,5,34.83,8.5,8,5,11,5
Tatro_010482-T1,637,550.83,461,4444.58,334.17,416.5,1537.5,1318.75,604.83
Tatro_010483-T1,379.5,347.5,313,4520.83,395,455,869,729,379
Tatro_010484-T1,203,285,348.83,1165.58,233,268.5,426.5,387.58,234.5
Tatro_010485-T1,8833.2,8485.08,12220.83,36147.83,6414.58,6224,9074.33,8099.25,5156.75
Tatro_010486-T1,359.17,402.92,448.03,3032.83,424.33,462.17,670.33,531.67,277
Tatro_010487-T1,248.17,291.75,307.87,1622.83,267.83,322.67,487.33,374.67,216.5
Tatro_010488-T1,813,920.5,886.83,8437.5,809,877.5,1217.33,1029.08,575.5
Tatro_010489-T1,516,672,632,8046,855.5,1056,1330.83,1353.83,707.83
Tatro_010490-T1,26.5,38.83,23.5,397,44.5,55.83,713.17,61,36
Tatro_010491-T1,238.5,252.83,170.08,3471.33,359,386.33,551.67,481.5,255
Tatro_010492-T1,208.5,235.83,176,2099.25,219.5,258,567.5,531,278.5
Tatro_010493-T1,168,160,234.33,708.33,78.5,85.83,141.75,166.5,70
Tatro_010494-T1,25101.85,22853.83,30066.58,82934.31,7097.58,8506.75,12486.08,12190.58,6190.5
Tatro_010495-T1,10100.08,11687.33,17289.58,44181.75,6750.5,8150.75,9468.5,8439,5269.33
Tatro_010496-T1,14005.52,13363.53,22146.42,63205.21,7341.33,9190.23,10685.5,10377.3,6255.83
Tatro_010497-T1,326.58,255.5,270.83,2753.2,200.17,245.5,421.5,400.5,174
Tatro_010498-T1,97.5,114.5,102.83,810.92,115.17,88,227.5,177.5,89.5
Tatro_010499-T1,1038,746.5,820.5,6396.5,503.5,514.83,2246.17,1988.25,968.33
Tatro_010500-T1,6,2,5,32.5,5,8,22,17,7
Tatro_010501-T1,3070.67,2507.92,2857.5,33529.75,3265.58,3286.17,5164.75,4315.67,2214.2
Tatro_010502-T1,246.83,248.5,338.75,1906.75,219.5,242.5,392.5,405,210
Tatro_010503-T1,2179.5,2293.25,2195.42,15229.83,1776.17,1850.2,3394.12,3157.7,1746.17
Tatro_010504-T1,452.5,404.5,425.5,3879.58,344.33,424,693,698.5,369.5
Tatro_010505-T1,4,1,1,15.5,1,2,8,5,0
Tatro_010506-T1,2348.83,1596.67,1708.75,1075.25,61,70,213,200.5,101.5
Tatro_010507-T1,7,11,7,44.5,10,8,23,14,11
Tatro_010508-T1,666,650,873.5,7255.5,731.5,782,1302,1161.33,668
Tatro_010509-T1,2195.17,2489,2865.25,10302.17,1557.67,1610.08,4019.17,3622.83,1938.67
Tatro_010510-T1,689.33,801.33,907.42,4296.08,602.5,674,1325.33,1233.83,689.5
Tatro_010511-T1,1518.83,1190.83,1580.92,14210.45,1500.25,1780.83,2704.33,2192.92,1147.5
Tatro_010512-T1,567,579.58,513.5,7241.92,645,642,1074.5,1013,482
Tatro_010513-T1,201.5,212.33,130.33,2450.33,237.5,227,1191.67,1259.5,621.83
Tatro_010514-T1,96,79,96.33,994.75,73.5,71.5,180.5,196,86
Tatro_010515-T1,79.5,66.5,73.5,989,74,61,129.5,134,57
Tatro_010516-T1,320.5,315.5,357.33,3455.25,361,378.5,614.83,556,272.5
Tatro_010517-T1,693,657,645.5,10951.33,1344,1446.25,1315.33,1180,637.5
Tatro_010518-T1,2368.42,2129,2562.83,34585.5,3121.33,3280.42,5027.83,4983.42,2394.83
Tatro_010519-T1,1752,1921.42,1827.5,26768,2752.67,2881.33,4612,4367.83,2098.5
Tatro_010520-T1,281.83,291.75,326.5,3852.25,289,324,417.5,472.83,212.5
Tatro_010521-T1,228.5,199.5,219,1666.95,111,142,278.5,322.5,145
Tatro_010522-T1,24,32.33,24.5,288.33,23,22.5,48.5,83,25.67
Tatro_010523-T1,6.5,14.83,8.5,119.83,12,7,14.5,19,7.67
Tatro_010524-T1,0,0,0,0,0,0,0,0,0
Tatro_010525-T1,2,0,3,12,0,0,2,2,3
Tatro_010526-T1,2,1,2,25.5,4,4,7,9,7
Tatro_010527-T1,10,21.33,9,92,13,14,31,22,12
Tatro_010528-T1,2385,2316.75,2398.33,5910.75,698.5,761,1820.67,1781.5,898
Tatro_010529-T1,412.5,342.5,383.25,1181.95,91.5,123.5,28,16.5,12
Tatro_010530-T1,83.5,125,89.5,5185.75,562.5,651,1499.17,1494.83,693.33
Tatro_010531-T1,1198.17,1191,1029.67,9321.92,749.5,846.75,1049.5,1021.17,428
Tatro_010532-T1,1467.5,2239.83,1480.33,21554,2511.33,2784.75,9705.17,9161.25,4680.75
Tatro_010533-T1,43.5,37.5,44,480.83,35.83,44.5,78,85.5,41
Tatro_010534-T1,85.5,80,82.5,674.25,57,62.5,171.5,159,60
Tatro_010535-T1,3,1,3,15.5,2,1,12,7,4
Tatro_010536-T1,5,6,4.5,87,12,8,40,61,16.5
Tatro_010537-T1,1,0,0,206,23,13.5,204,184.33,63.5
Tatro_010538-T1,0,0,0,2,0,0,0,1,0
Tatro_010539-T1,182,178.5,138.5,2048.5,172.33,195,505.5,450.5,239.5
Tatro_010540-T1,199.5,221.5,213,2317.25,301.5,341,547.5,537.5,265.5
Tatro_010541-T1,1,3,3,43.5,2.5,4.5,10,12,4.5
Tatro_010542-T1,6,5,4,76.5,8.5,7.5,24,16.5,15.5
Tatro_010543-T1,7.5,9.5,9.5,101.17,15,11.5,20,23,9.5
Tatro_010544-T1,16,23.5,24,219.67,24.5,23.5,43.5,28.5,20.5
Tatro_010545-T1,5,2,6,235.5,16.5,30,90.5,90,51
Tatro_010546-T1,3382.25,3167.42,3582.83,26783.15,2739.17,2813.83,11226.5,10724.37,5221.75
Tatro_010547-T1,20,14.5,35.33,159,16,15,20,25,10
Tatro_010548-T1,18,22,28,142,12,9,20.5,19,12.5
Tatro_010549-T1,84.5,102.5,85.5,810.83,69,92.5,136.5,125.5,62.5
Tatro_010550-T1,1,2,1,6,1,2,3,0,0
Tatro_010551-T1,0,1,0,2,0,0,1,0,0
Tatro_010552-T1,28,16,16.5,30,6,6.5,24,15,9
Tatro_010553-T1,0,0,0,3,0,1,0,0,0
Tatro_010554-T1,586.33,574.83,632.83,6349.42,546.83,574.83,2045.33,1905,858.25
Tatro_010555-T1,666,637.33,677.5,5173.17,523.5,475.83,971.33,880.5,393.25
Tatro_010556-T1,33,35.5,34,218,26,16,46,40,20
Tatro_010557-T1,671.5,562.83,596.75,5006,475.5,553.33,1169.83,999.5,581.5
Tatro_010558-T1,209,265.83,390,3673.37,704,749.33,430.5,347,225
Tatro_010559-T1,255.5,277.83,267,3825.08,423.83,446.5,763.5,715.83,350
Tatro_010560-T1,5,7,4,50.5,8,6,10.5,16,5
Tatro_010561-T1,423,333.5,156.83,23362.33,2000.67,2374.33,2351.08,2102.67,932
Tatro_010562-T1,1570.33,1578.67,1613.83,11339.67,1178.75,1268.83,2744.17,2503.83,1197.33
Tatro_010563-T1,2916.5,2564.83,2676.33,30456.08,2656.83,2742,5182.25,4585.92,2225.33
Tatro_010564-T1,491.5,391.67,476,6048.42,465,515.33,939.25,906.33,424.33
Tatro_010565-T1,1606.83,1419.5,1737.33,12108.08,1406.33,1564.03,3048,2563.33,1555.5
Tatro_010566-T1,582,594.5,615,4168.67,548.5,580.5,3528.92,2986.58,1526
Tatro_010567-T1,14900.25,14215.17,19975.25,116386.8,12572.58,12648.92,19153.42,16970.92,9658.17
Tatro_010568-T1,1094.33,1188.33,1312,7427.17,672.5,732.12,975,906,375.5
Tatro_010569-T1,349.5,360.5,458.83,2623.67,283,353.5,659,633.5,312
Tatro_010570-T1,4590.17,5706.92,8867.92,21858.28,5363.75,4821.17,7811.78,6997.17,3547.67
Tatro_010571-T1,546.5,465.5,461.75,4093.38,397.5,409,830.5,755,348
Tatro_010572-T1,0,0,0,0,0,0,0,0,0
Tatro_010573-T1,87.5,109,88,1412,114.5,131,176,149.33,77
Tatro_010574-T1,133,98.5,111,1859,196,190.5,131,164,72
Tatro_010575-T1,210,189.08,237.58,2374.67,198,210,261.67,244,107.5
Tatro_010575-T2,210,189.08,237.58,2374.67,198,210,261.67,244,107.5
Tatro_012427-T1,149.75,137.5,134,2179.5,227,244,277.25,291,135.5
Tatro_010576-T1,406.67,393,403.5,2568.37,739.17,731.42,1237.33,1231.75,787.33
Tatro_010577-T1,48,33.5,24.5,731.17,73.75,75.5,171,167,84.5
Tatro_010578-T1,887.58,708.5,722.25,11006.53,1165.92,1230,2491.83,2409.08,1232.2
Tatro_010579-T1,159,91,70.5,902,98,123.5,533,547.5,282.5
Tatro_010580-T1,339,237.5,280.5,2551.33,182.5,215.5,201.5,213.5,108
Tatro_010581-T1,14,19,15,57.5,11,5,9,4,3
Tatro_010582-T1,98.5,87,113,1191.67,103.5,100.5,158.5,166,88
Tatro_010583-T1,419,589.5,848.33,3387.17,439,501.5,468.33,438.5,223
Tatro_010584-T1,353.5,348.33,395.33,3779.67,332.33,415.5,676.83,632.67,299.5
Tatro_010585-T1,481,423.5,442.08,3628.83,329,353.5,649.5,514.33,228.5
Tatro_010586-T1,108.5,91,87.33,813.08,76.5,65.5,149.67,160,75
Tatro_010587-T1,37.5,51,51,380.33,30,48.5,55.33,70,24.5
Tatro_010588-T1,110.5,117,132.33,604,74.5,66,116.33,125.33,46.5
Tatro_010589-T1,70.5,73.33,67.67,610.83,69,63.25,104,86.5,29.83
Tatro_010590-T1,137,167.83,217.67,1262.25,129,109,197,164,102.83
Tatro_010591-T1,2694.83,2540.33,3582.75,19260.53,2496.75,2784,4883.58,4591.58,2375
Tatro_010592-T1,9,5,10,46.5,1,4,10,20.5,9
Tatro_010593-T1,89.5,78.5,81.83,834,83.5,88,299,282,142
Tatro_010594-T1,111.5,100,155.67,533.33,63,68,171.83,144.5,79
Tatro_010595-T1,41.5,55,44.5,212,24,27,53.5,45,18
Tatro_010596-T1,436.5,345.5,400,4258.08,265.5,328.33,770,807.5,362
Tatro_010597-T1,100,96,197,710.42,73.5,83,163.5,137,77.5
Tatro_010598-T1,721,595,785.5,4389.67,449,440,1081.83,908.58,507.5
Tatro_010599-T1,113.5,84.5,101.5,1126.33,102,102.5,197.33,177.5,70
Tatro_010601-T1,42,34.83,41,513,39,41,74.5,74,37.5
Tatro_010602-T1,59,46,46,472.25,55,60,90,76.5,50.5
Tatro_010603-T1,587.5,483,510.5,5833.92,700,733.5,1420.5,1335.58,668.83
Tatro_010604-T1,284,224.5,291.08,3826.33,370.83,409.83,692.5,648,319
Tatro_010605-T1,586,536.5,563,5534.5,456,501.5,827,767.33,307.5
Tatro_010606-T1,38,31.5,32,339,47.5,42,65,75,27.5
Tatro_010607-T1,1565.5,1392.08,1522.92,16843.75,1440.5,1501.17,1627.83,1447.67,630.5
Tatro_010608-T1,50.7,88.5,115,510.33,95.5,101.67,227.67,178.83,91
Tatro_010609-T1,873.2,739.83,932,3468.75,475.5,526.83,1063.5,875.17,510.83
Tatro_010610-T1,467.5,436.75,591.5,4200.67,359.83,347.5,668,590.5,307.5
Tatro_010611-T1,244,198.5,286,3512.17,282,325,463.33,395.5,200.5
Tatro_010612-T1,2184.5,1877.17,1980.17,27437.17,1942.5,1987.08,4696,4440.33,1999.33
Tatro_010613-T1,741.33,739.33,646.42,5121.58,563.33,630.25,1140,955.5,537.5
Tatro_010614-T1,70,61,80.5,511,59.5,62.5,94,85,46.5
Tatro_010615-T1,536.17,444.5,558.5,6429.25,475,503,972,940.33,402.5
Tatro_010616-T1,6,1.5,2.5,70,3,4.5,5.5,4,4
Tatro_010617-T1,644.5,599.5,1008.33,6798.03,533,597.5,831.5,770.75,363.5
Tatro_010618-T1,26.5,35.5,48.5,268.33,24,34,21,21,21
Tatro_010619-T1,384.5,393.5,447.46,3310.67,337,399.5,312,319.5,149.5
Tatro_010622-T1,492.83,511.83,742,16150.5,1151,1268,3849.17,3960.67,1922
Tatro_010623-T1,549.33,474.33,459.33,811.87,76.5,93,345,359.5,167.5
Tatro_010624-T1,2840,2688.83,3026.83,16496.08,2164.2,2418.5,3407.5,2756.5,1544.5
Tatro_010625-T1,640.5,514.5,565.5,4260.21,387.5,429,720.5,669,344.5
Tatro_010626-T1,2660.83,2419.42,1822.92,23042.83,1922.83,1977.5,2961.42,2559.08,1278.5
Tatro_010627-T1,2.5,2.5,4.5,25.5,1,3,7.5,7,3.5
Tatro_010628-T1,13,11,13,79,12,11,36,15,10.5
Tatro_010630-T1,854.53,869.83,845.92,6825.67,733.28,827,1321.83,1217.7,650
Tatro_010629-T1,506.03,515.33,533.92,1460.5,228.28,270,594.83,540.12,304.67
Tatro_010631-T1,0,2,0,1.5,0,0,0,0,0
Tatro_010632-T1,113.5,123.5,122,2141.5,163.5,222,474,465.5,195.5
Tatro_010633-T1,166,218,222,1579.5,172.83,185,202,199.5,101.5
Tatro_010634-T1,0,0,0,0,0,0,0,0,0
Tatro_010635-T1,25,23,21,635,73.5,64.5,69.5,67.5,23
Tatro_010636-T1,2,1,2,0,0,0,0,0,0
Tatro_010637-T1,1281.33,1483.83,1583.67,6568.71,708.83,783.33,1387.08,1323.33,738.45
Tatro_010637-T2,1281.33,1483.83,1583.67,6568.71,708.83,783.33,1387.08,1323.33,738.45
Tatro_010638-T1,926.5,857.33,1028.83,4785.33,511.33,587.5,1296.33,1213.5,666.75
Tatro_010639-T1,268,287.33,367.83,1162.58,162.83,202.33,474.83,390,215
Tatro_010640-T1,327,266.5,292.5,2432.67,161.5,185.5,316,342.5,140
Tatro_010641-T1,13,21,26,127.5,19,25,14,6,3
Tatro_010642-T1,23.5,23,20.5,154,16,14,38.5,33,18
Tatro_010643-T1,138,146.5,129.5,915.33,82,85.83,81.5,105.5,39.5
Tatro_010644-T1,1.5,2,2.5,5,0.5,1,0.5,1,0.5
Tatro_010645-T1,6,7.5,4,56.5,5,5,27,13,4
Tatro_010646-T1,74,23.5,7,707.17,103.83,130,53,40.5,16
Tatro_010647-T1,3,0,1,3,1,0,1,0,0
Tatro_010648-T1,19.67,20.5,25.83,199,27,23,34.17,28.17,17.42
Tatro_010648-T2,19.67,20.5,25.83,199,27,23,34.17,28.17,17.42
Tatro_010649-T1,4.67,6.33,7,49.58,5,6,8.67,4.67,3.92
Tatro_010650-T1,0,0,0,0,0,0,0,0,0
Tatro_010651-T1,132.5,186.5,154,1125.25,136.5,119.5,215.83,231.5,120.5
Tatro_010652-T1,98.5,113,126,559.5,71.5,63.5,182.5,163.5,80
Tatro_010653-T1,30,29,22.5,254.75,29,31,52,53.33,23
Tatro_010654-T1,30,34,27,235,22,23,19,17.5,14
Tatro_010655-T1,11,9,7,21.5,2,8,8,5,5
Tatro_010656-T1,25,29.5,24,413.33,30,44.5,60.5,73,32.5
Tatro_010657-T1,123,117.5,160.33,1166.83,94.5,123.5,206.5,223,98.5
Tatro_010658-T1,26,41,33.5,272.5,38.5,39,144,171,84
Tatro_010659-T1,2,1,0,14,3,4,15,8,4
Tatro_010660-T1,1,1,2,12,1,1,1,0,0
Tatro_010661-T1,0,0,1,6,0,2,1,1,1
Tatro_010662-T1,16,25.83,15,74.33,9.83,10,23,22.83,7.5
Tatro_010662-T2,16,25.83,15,74.33,9.83,10,23,22.83,7.5
Tatro_010664-T1,172,183.08,130,1318.33,129,133,258.5,198.5,82
Tatro_010665-T1,643,705.33,400,3155.17,297,351,539.5,490.5,236.83
Tatro_010666-T1,9,4,4.5,30,6,5,5,4,1
Tatro_010667-T1,30,23,28,186.5,16,16.5,19,26,9
Tatro_010668-T1,0,5.5,7,26,6,4,8,4,3
Tatro_010669-T1,7,4,6,783.33,65,62.5,438.5,474.67,223
Tatro_010670-T1,230,253.5,136.5,2990.67,304,304,1181.5,1189.25,602
Tatro_010671-T1,2160.67,1968,1643.67,6561.42,558.25,555.5,853.5,801,337.75
Tatro_010672-T1,10,7.5,7,50,2,6,13.5,10.5,9.5
Tatro_010673-T1,206,247.5,209.83,1585.17,170,193,477.5,454.5,231
Tatro_010674-T1,57,58.5,37,836.67,82,89.5,189.5,189,91.5
Tatro_010675-T1,705.5,713.5,436,8940.17,834.5,899.5,2691,2670.08,1172
Tatro_010676-T1,325.5,228,193.5,594,65,62,101.5,86.83,31.5
Tatro_010677-T1,248,261.5,265.83,3232.25,361.33,385,1034.33,1052.33,468.5
Tatro_010679-T1,259.5,274.33,234.17,1889.67,204.67,243,698.92,627.17,358.5
Tatro_010678-T1,152,176.33,132.17,1123.42,101.67,113,441.92,363.17,223
Tatro_010680-T1,0,0,0,31.5,6,2,4,2,2
Tatro_010681-T1,0.5,0,0,33.83,3,4,1,3,2
Tatro_010682-T1,265.33,266.83,323,3847.75,314.5,335,993.67,925.67,397.5
Tatro_010683-T1,0,1,0,0,0,0,0,0,0
Tatro_010684-T1,1.5,1,4.5,18.83,0.5,0,0,0.5,2
Tatro_010685-T1,0.83,0.67,2.5,12.5,0.83,0,0,0.5,0
Tatro_010686-T1,0.83,1.17,1,2.17,0.33,0,0,0,0.5
Tatro_010686-T2,0.83,1.17,1,2.17,0.33,0,0,0,0.5
Tatro_010687-T1,0,0,0.5,2,0,0,3,1,0
Tatro_010688-T1,1,0,2,133,11,17,19,16,7
Tatro_010689-T1,1,2,0,14.5,0,1,4,0,1
Tatro_010690-T1,126.17,164,138.08,1586.03,145.17,163.33,262.17,255.67,111.75
Tatro_010690-T2,126.17,164,138.08,1586.03,145.17,163.33,262.17,255.67,111.75
Tatro_010691-T1,5,10,10,57.83,9,10,17.5,13,7
Tatro_010692-T1,2,1,1,29,3,3,6,8,4
Tatro_010693-T1,0,0,3.5,11,2,0,4,2,1
Tatro_010694-T1,1,1,1,9,2,1,4,1,2
Tatro_010695-T1,0,0,0,0,0,0,0,0,0
Tatro_010696-T1,0,0,0,0,0,0,0,0,0
Tatro_010697-T1,0,0,0,1,0,0,0,0,0
Tatro_010698-T1,13,16,24,267,28.5,27,35.5,34,17
Tatro_010699-T1,126,132,122.5,560.5,85,81,51.2,64,24.5
Tatro_010700-T1,136.33,132.5,145.5,2198.17,180,207,255,279,130
Tatro_010701-T1,70,104.25,55,1372.58,148.5,160.5,271,248,128.5
Tatro_010702-T1,5,2,1,16.5,1.5,3,3,3,3
Tatro_010703-T1,5,2,5,27.5,2.5,4,8,7,6
Tatro_010704-T1,4469.17,5078.17,4066,55247.15,6330.33,7171.17,10589.33,10075.75,5439.58
Tatro_010705-T1,3276.08,3175.67,4895.83,23998.17,2192.25,2440.25,2344.33,2022.83,912.17
Tatro_010706-T1,8.5,9.5,9.17,92,7.5,8,13.33,11.5,7.83
Tatro_010707-T1,692.5,829.25,864.33,7944.67,806.83,914.67,2308,2259.67,1105
Tatro_010708-T1,112,142.83,108.33,880.33,102.5,121.5,168.5,153,73
Tatro_010709-T1,143.5,164.5,120.5,1200.5,125.5,123,254,223.5,103
Tatro_010710-T1,95.5,93,75.5,552,49.5,64.83,81.5,79.5,33
Tatro_010711-T1,599.33,530.33,592.17,3645,378.83,444.17,845.33,722.33,335.33
Tatro_010712-T1,1227.33,973.83,1074.83,6266.92,537.25,616.67,1103.83,1003.17,437.83
Tatro_010713-T1,1358.33,1403.87,1550.5,12013.08,1322.33,1424,2358.67,2201,1150.58
Tatro_010714-T1,4,6.5,9,334.25,28,34,54.5,39.5,21.5
Tatro_010715-T1,541,480.5,490,4473.83,420.5,439.33,954.5,911.83,467
Tatro_010716-T1,318.5,315,396.5,2347,285,283,573.5,552,253
Tatro_010717-T1,867.75,732.83,785.83,5247.33,523,648,1659.5,1465.83,753.5
Tatro_010718-T1,525,568,643,3740.08,431,432.5,717,718.33,379
Tatro_010719-T1,2149,2053.03,1917.03,30694.75,2587.67,2923.33,6411.2,5776.75,2718.03
Tatro_010720-T1,803,826,825,4218.08,589,693,7317.2,6372.67,3693.5
Tatro_010721-T1,647.83,623.5,695,6813.92,617.58,629.25,1149.92,1077,457
Tatro_010722-T1,22.5,31.5,39.5,501.67,66,53.5,60.5,59,19
Tatro_010723-T1,0,0,1,0,0,0,0,1,0
Tatro_010724-T1,2,0,1,34,2,6.5,2,3,2
Tatro_010725-T1,203,263.5,225,2406.5,273.5,267,595.83,557.33,263
Tatro_010726-T1,313,242.83,274.5,2501.33,317.67,295.5,568.5,548.5,266.5
Tatro_010727-T1,2,2,4,4,0,2,1,1,0
Tatro_010728-T1,16.5,25,30.5,40.5,5,7,14,12,3
Tatro_010729-T1,0,5,3,27,3,6,11,5,7
Tatro_010730-T1,2967.42,2522,2975.5,25732.17,2247.33,2480.92,4599.58,4037.08,2041.33
Tatro_010731-T1,270,421.83,299,1101,189,205,793.33,757.5,415
Tatro_010732-T1,2,0,3,7,0,1,1,2,1
Tatro_010733-T1,822.08,721,800,7719.42,721.25,811,1797.67,1705.25,735
Tatro_010734-T1,1806,2241.78,2860.58,19543.15,2069.33,2326.08,5062.75,4778.83,2382.25
Tatro_010735-T1,48.5,50.67,52.67,434.17,46.08,42.83,116.5,111.5,43.83
Tatro_010735-T2,48.5,50.67,52.67,434.17,46.08,42.83,116.5,111.5,43.83
Tatro_010736-T1,170.67,177.75,222.67,1631.75,167.58,184.83,323.17,282.5,148.83
Tatro_010737-T1,476.5,485.03,602.5,4954.33,430.5,482.5,811.5,813.5,432.5
Tatro_010738-T1,291.5,286,320.5,2076.67,294.83,307.5,500,378,205
Tatro_010739-T1,2018,1918.17,2227.9,15524,1583.5,1755.67,2920.42,2608.67,1245
Tatro_010740-T1,1438.83,1422.58,1371.2,16237.35,1373.83,1596.83,1893,1569,757.33
Tatro_010741-T1,20,25.5,17,340.33,55,64,78,74.5,37.5
Tatro_010742-T1,34,42.83,26,579,36,58,38.33,48,26
Tatro_010743-T1,1828.25,1617.33,1511.33,27296.17,2305.25,2478,4259,3823.92,1827.33
Tatro_010744-T1,97.5,76.5,123.83,2098.17,139.5,174,334.5,313.5,144
Tatro_010745-T1,37,21,32.5,835.83,39,52.5,75,68.5,28.5
Tatro_010746-T1,0,0,0,0,0,0,0,0,0
Tatro_010747-T1,135.33,147.5,168,2538,230.83,307.5,329.5,328.5,131.5
Tatro_010748-T1,64.5,88.5,145,1346,100.5,122,150,129,78.5
Tatro_010749-T1,37,29.5,25,334.25,39,46,90.33,78,46
Tatro_010750-T1,183,161.5,181.5,1400,165.5,193,351,315,160.83
Tatro_010751-T1,0,0,0,4,1,1,0,0,1
Tatro_010752-T1,459,380,450,2645.25,229.33,245,516.5,513.75,277
Tatro_010753-T1,367.5,271.83,320,2322.08,191,205,433.83,403,184.5
Tatro_010754-T1,227.5,306,334.92,2304.03,353.5,377.5,835,759.58,412.5
Tatro_010755-T1,717.67,706.17,829.75,7932.58,750,781.33,1367.33,1241.08,543.25
Tatro_010756-T1,1922,2111,2193.5,20235.92,1997.83,2224.17,4641,4428.08,2184.17
Tatro_010757-T1,654,593.83,775.17,4621.08,505.5,507.5,937.83,951,510
Tatro_010758-T1,1073.17,1024,1137,7008.7,926.25,862.75,1570.83,1393.5,790.83
Tatro_010759-T1,363.83,277,346,2755.5,287.83,357.5,651.5,478.33,326
Tatro_010760-T1,94,90.5,144.83,567.83,148.83,151.5,577.5,576.25,292.5
Tatro_010761-T1,3931.33,4419.92,5658.08,38629.98,5671.58,6216.33,6561.7,5685.5,3281.5
Tatro_010762-T1,569.33,465.5,582.5,4853.42,418.33,442.5,1062.83,952.17,494
Tatro_010763-T1,894.33,641,885,6712.17,436,477,893.5,812.5,399
Tatro_010764-T1,179.5,197.5,229,810.83,130.5,118.5,222.83,200.5,108.5
Tatro_010765-T1,930,775.33,856.33,8009.58,705.17,734,1326,1186.83,512
Tatro_010766-T1,70.5,58,66.4,436,30,36.33,64.5,61,33
Tatro_010767-T1,149,202.5,294,912.5,142.83,155,412.25,393.33,223.5
Tatro_010768-T1,156.5,159,179,2124.75,163,201,348,338,155
Tatro_010769-T1,82.5,79.5,97,841.17,75.5,88.5,122.5,110,45.5
Tatro_010770-T1,157.5,142.5,178,1811.33,136,155.5,206.33,197,107
Tatro_010771-T1,268,290.83,252.33,4615.33,321,397.5,878.5,1016.17,383.5
Tatro_010772-T1,187.83,162.5,166.33,3147.08,204.5,235.5,523.5,477,212.5
Tatro_010773-T1,239.5,298.5,279,2363.33,244.5,242.5,477,387.5,188.5
Tatro_010774-T1,907,859.75,1297.75,4256.58,520.17,583,1018.83,954.5,555.5
Tatro_010775-T1,1852.33,1662.58,2162.33,21309.53,3353.17,3832.58,5906,5140.25,3970.83
Tatro_010776-T1,2510.75,2090.67,2197,25595.92,3328.08,3907.67,6688.08,5366.17,3400.28
Tatro_010777-T1,332,303.5,437,6986.92,485.33,567,1112.5,1146.08,492.5
Tatro_010779-T1,13.87,16.75,18.75,131.24,19.25,17.25,34.25,30.08,14.67
Tatro_010779-T2,13.87,16.75,18.75,131.24,19.25,17.25,34.25,30.08,14.67
Tatro_010779-T3,13.87,16.75,18.75,131.24,19.25,17.25,34.25,30.08,14.67
Tatro_010780-T1,347,409.83,429.75,2919.83,362.83,390.17,407.33,359.33,169.33
Tatro_010781-T1,41,95.67,85.75,455.25,83.67,76.33,57.33,55.83,24.33
Tatro_010782-T1,1002.83,1037.92,1219.5,8257.32,936.42,996.83,1645.83,1447.17,694
Tatro_010783-T1,1285,1275.83,1121.83,11743.7,1451.53,1621.25,3445,2976,1702.5
Tatro_010784-T1,321.5,234,269.5,1726.67,137,173.5,539.5,424.33,220.5
Tatro_010785-T1,521,455,461.5,5084.58,485.33,507,926.83,795.5,402
Tatro_010786-T1,134,155.83,183,1535.58,164.5,173.5,919,880,410.5
Tatro_010787-T1,190,212,226.5,1834.83,242,274.5,341.5,333.33,191.5
Tatro_010788-T1,42.5,29.5,35.33,291,41,28.5,109,106.83,52
Tatro_010789-T1,18.5,17.2,28.5,130,16,14.5,40,30,22
Tatro_010790-T1,2934.83,2277.92,2714.08,21387.33,1770.83,1894.83,5466.08,4815.87,2235
Tatro_010791-T1,353,406.83,721.67,3410.75,397.17,438.42,687,637.5,374.5
Tatro_010792-T1,145,155,165,2905.08,335.5,357,249,257.83,111
Tatro_010793-T1,6,5,5,45,5,6,17,18,3
Tatro_010794-T1,1069,1220.5,1653.92,9272.42,1292.83,1300.83,2974.33,2711.58,1481.42
Tatro_010795-T1,100.5,66.5,115,1106.67,87,98.5,518.33,484.83,243
Tatro_010796-T1,1053.83,991.33,1007.33,7578.17,790.75,842.5,2600.25,2401.5,1302.83
Tatro_010797-T1,5671.67,3728.83,4055.83,35461.95,2649.67,2603.67,7463,6562.17,3199.5
Tatro_010798-T1,663.5,442,763.5,3003.08,235.5,256,794.5,760.5,366.83
Tatro_010799-T1,633,768.58,751.83,7883.58,768.92,773,1197,1209.53,580.5
Tatro_010800-T1,555.33,486.5,600.83,2352.33,247.5,240.5,549.33,536.83,325.5
