,control_1mMPi_R1,control_1mMPi_R2,control_1mMPi_R3,T01mMPhi_R1,T01mMPhi_R2,T01mMPhi_R3,T05mMPhi_R1,T05mMPhi_R2,T05mMPhi_R3
Tatro_000291-T1,1168.75,1212.5,992.08,15477.67,1426.5,1576,3496.83,3341.75,1640
Tatro_000292-T1,149,146,168,1874.5,173,199,269,183,137.5
Tatro_000293-T1,770.83,655.17,807,4683.5,506.5,567,1516.17,1403,731
Tatro_000294-T1,2988.33,2850.5,3180,20737.9,2366.17,2556.92,4939.83,4355.83,2093
Tatro_000295-T1,439.5,656.5,228,9525.5,868.5,887.33,791,737,325
Tatro_000296-T1,460.5,297.5,282,2827.17,245,242.5,509,508,215.5
Tatro_000297-T1,104.5,112.5,125,699,94,78,126,135,52
Tatro_000298-T1,226,208,241.5,1592.42,194,225.5,922.33,855.67,425.5
Tatro_000299-T1,222.5,289.5,243.5,1827,258.5,262.5,444.5,476.5,223
Tatro_000300-T1,420.5,435.83,532.5,3502.58,510,550,933.33,868.5,512.5
Tatro_000301-T1,105,64,99,1345.5,92,102.5,216.5,199.33,76.33
Tatro_000302-T1,1073.5,1307.67,1165.5,9824.42,1106,1117.5,2344.33,2240.25,1155.5
Tatro_000304-T1,148.83,177,161.5,141.83,28,12,154.5,134,66
Tatro_000306-T1,1141.33,1194.5,1001.5,6968.67,681,834.5,1056.25,993,469.5
Tatro_000307-T1,60,66.33,39.5,323.33,23.5,40,48,44,21
Tatro_000308-T1,1407.58,1956.67,1236,5157.33,595.83,698.5,190,178.33,90.5
Tatro_000309-T1,1432.08,1234.5,1461,6517,635.08,709,757,601,293
Tatro_000310-T1,2026.67,2055.42,1555.17,14307.53,1263.42,1363.5,35,32.5,28
Tatro_000311-T1,28.5,20.5,27,334.5,27,34,83,81,30
Tatro_000312-T1,3302.92,3087.53,2859.5,19540.4,2151.83,2289.83,3765.25,3176.5,1592.17
Tatro_000313-T1,54.5,44.5,35,2079.17,147.5,176,934,970.25,383.5
Tatro_000314-T1,24,34.5,25.5,650.83,83,82,148.5,121.75,76
Tatro_000315-T1,286,291.5,341.5,3610,287.5,324.83,430,352.5,174
Tatro_000316-T1,77.5,59.75,77,764.25,72.5,83,77.5,80,44
Tatro_000317-T1,0,0,0,20,2,0,2,1,0
Tatro_000318-T1,1,0,0,33.5,2,2,4,0,2
Tatro_000319-T1,443,382,354.33,3883.92,307,300.83,548.5,478,195
Tatro_000320-T1,1034.17,828.5,862.5,11345.75,958.5,981.25,1695.67,1540,718
Tatro_000321-T1,164.5,151,117.08,831.5,119.5,126,1003,780.33,495.83
Tatro_000322-T1,47.5,40,29.5,410,28,41.5,177,160.33,57.5
Tatro_000323-T1,840.5,705.5,699.5,6457.75,698.5,745.83,1824.5,1520,790.5
Tatro_000324-T1,2337.75,2068.21,2127.17,12083,1474.83,1651,2899.42,2335.25,1198.5
Tatro_000325-T1,2,1.5,0,6,0.5,0,1,0,0
Tatro_000326-T1,5,2.5,1,11,2.5,3,4,4,2
Tatro_000327-T1,582.33,495.5,638.33,21141.07,1615.58,1847.17,463.5,470.5,186
